CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y,_lat,_lon,collision_date,year,month,day_of_week,hour,severity,cross_street_raw,named_cross_street,involves_pedestrian,involves_cyclist,involves_ped_or_cyclist
6491890,2014,2014-07-16,103,2014-04-12,1040,157,14.0,6,5,6,103,0,0,0,,0,1,SUTTER ST,HOPKINS ST,15.0,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,3,22350.0,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.27239,37.88853121,37.88853121,-122.27239,2014-04-12,2014,4,6,10,property_damage_only,HOPKINS ST,,True,False,True
6877720,2015,2015-04-14,103,2015-02-15,836,104,18.0,7,5,6,103,0,0,0,,0,2,HOPKINS ST,JOSEPHINE ST,8.0,E,N,A,-,N,,,,,,,,,,N,3,0,1,1,A,-,3,22350.0,,N,E,I,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.27583789,37.88472326,37.88472326,-122.27583789,2015-02-15,2015,2,7,8,other_injury,JOSEPHINE ST,,False,False,False
6900320,2015,2015-05-11,103,2015-03-11,648,59,13.0,3,5,6,103,0,0,0,,0,2,HOPKINS ST,THE ALAMEDA,8.0,W,N,C,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950.0,A,N,A,B,B,B,H,-,C,A,0,Y,,,,Y,,A,01,0,1,0,0,1,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.27497853,37.88541365,37.88541365,-122.27497853,2015-03-11,2015,3,3,6,other_injury,THE ALAMEDA,Alameda,True,False,True
7049790,2015,2015-09-10,103,2015-07-13,1814,69,14.0,1,5,6,103,0,0,0,,0,2,SUTTER ST,HOPKINS ST,49.0,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,1,23152.0,A,N,C,C,A,A,H,-,A,A,0,,,Y,,Y,Y,A,01,0,0,1,0,0,0,0,0,1,- ,- ,,,ALAMEDA,BERKELEY,-122.27239,37.8886246,37.8886246,-122.27239,2015-07-13,2015,7,1,18,property_damage_only,HOPKINS ST,,False,False,False
7141332,2015,2015-12-24,103,2015-10-01,1433,128,13.0,4,5,6,103,0,0,0,,0,2,HOPKINS ST,COLUSA AV,92.0,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,8,22107.0,,N,C,E,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.27906708,37.8831107,37.8831107,-122.27906708,2015-10-01,2015,10,4,14,other_injury,COLUSA AV,,False,False,False
8050043,2016,2016-06-10,103,2016-04-30,1230,157,13.0,6,5,6,103,0,0,0,,0,2,HOPKINS ST,CARLOTTA AV,46.0,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,8,22107.0,,N,C,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.28020822,37.88254111,37.88254111,-122.28020822,2016-04-30,2016,4,6,12,severe_injury,CARLOTTA AV,,False,True,True
8103848,2016,2016-09-29,103,2016-08-28,1005,71,19.0,7,5,6,103,0,0,0,,0,4,GILMAN ST,ACTON ST,0.0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950.0,A,N,G,B,B,A,H,-,A,D,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.28556999,37.8803799,37.8803799,-122.28556999,2016-08-28,2016,8,7,10,property_damage_only,ACTON ST,,True,False,True
8169025,2016,2016-11-15,103,2016-09-29,2041,69,14.0,4,5,6,103,0,0,0,,0,2,HOPKINS ST,NAPA ST,135.0,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21954.0,A,N,G,B,E,A,G,-,C,D,0,Y,,,,Y,Y,N,60,0,1,0,0,1,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.27328901,37.88741436,37.88741436,-122.27328901,2016-09-29,2016,9,4,20,other_injury,NAPA ST,,True,False,True
8362193,2016,2017-11-20,103,2016-04-25,1228,89,18.0,1,5,6,103,0,0,0,,0,4,HOPKINS ST,SACRAMENTO ST,0.0,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950.0,A,N,G,B,B,A,H,-,A,B,0,Y,,,,Y,,A,07,0,1,0,0,1,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.28320998,37.88101992,37.88101992,-122.28320998,2016-04-25,2016,4,1,12,other_injury,SACRAMENTO ST,Sacramento,True,False,True
8375570,2017,2017-06-09,103,2017-04-02,928,119,,7,5,6,103,0,0,0,,0,1,HOPKINS,BEVERLY PL,418.0,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,17,22517.0,,N,G,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,0,0,1,0,0,0,1,0,0,- ,- ,37.88425,-122.27676,ALAMEDA,BERKELEY,-122.27796595,37.88364371,37.88364371,-122.27796595,2017-04-02,2017,4,7,9,property_damage_only,BEVERLY PL,,False,True,True
8377689,2017,2017-06-12,103,2017-03-16,822,25,,4,5,6,103,0,0,0,,0,4,JOSEPHINE ST,HOPKINS ST,0.0,,Y,F,-,N,,,,,,,,,,N,4,0,1,3,A,-,10,21950.0,A,N,D,G,A,B,H,-,A,A,0,,Y,,,Y,,A,01,0,0,1,0,0,0,1,0,0,- ,- ,37.88481,-122.27564,ALAMEDA,BERKELEY,-122.27585997,37.88470996,37.88470996,-122.27585997,2017-03-16,2017,3,4,8,property_damage_only,HOPKINS ST,,False,True,True
8446899,2017,2017-09-14,103,2017-06-11,1507,129,,7,5,6,103,0,0,0,,0,1,HOPKINS ST,MONTEREY AV,30.0,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,3,22350.0,,N,C,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,- ,- ,37.88168,-122.28193,ALAMEDA,BERKELEY,-122.28202864,37.88163691,37.88163691,-122.28202864,2017-06-11,2017,6,7,15,severe_injury,MONTEREY AV,Monterey,False,True,True
8446995,2017,2017-09-19,103,2017-05-23,1700,17,,2,5,6,103,0,0,0,,0,3,HOPKINS ST,THE ALAMEDA,0.0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,3,22350.0,,M,C,C,A,A,H,-,B,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,- ,- ,37.88542,-122.27495,ALAMEDA,BERKELEY,-122.27495996,37.88542992,37.88542992,-122.27495996,2017-05-23,2017,5,2,17,property_damage_only,THE ALAMEDA,Alameda,False,False,False
