zone_id,zone_name,data_periods,day_type,day_part,segment_traffic,avg_speed_mph,free_flow_speed_mph,free_flow_factor,inferred_volume,speed_p5,speed_p15,speed_p85,speed_p95
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),0: All Day (12am-12am),1625,23,43.131,0.541,False,6.0,14.0,31.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),1: Early AM (12am-6am),25,23,43.131,0.539,False,6.0,14.0,32.0,38.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),2: Peak AM (6am-10am),266,23,43.131,0.543,False,6.0,14.0,31.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),3: Mid-Day (10am-3pm),577,23,43.131,0.542,False,6.0,14.0,31.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),4: Peak PM (3pm-7pm),562,23,43.131,0.537,False,6.0,14.0,31.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),5: Late PM (7pm-12am),195,24,43.131,0.546,False,6.0,15.0,30.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),0: All Day (12am-12am),1752,23,43.131,0.54,False,6.0,14.0,31.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),1: Early AM (12am-6am),22,23,43.131,0.533,False,8.0,14.0,32.0,48.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),2: Peak AM (6am-10am),328,23,43.131,0.545,False,6.0,14.0,31.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),3: Mid-Day (10am-3pm),587,23,43.131,0.543,False,6.0,14.0,31.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),4: Peak PM (3pm-7pm),617,23,43.131,0.534,False,6.0,14.0,30.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),5: Late PM (7pm-12am),199,24,43.131,0.545,False,6.0,15.0,30.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),0: All Day (12am-12am),1261,23,43.131,0.543,False,6.0,14.0,31.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),1: Early AM (12am-6am),30,24,43.131,0.548,False,4.0,14.0,32.0,38.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),2: Peak AM (6am-10am),118,23,43.131,0.539,False,6.0,14.0,31.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),532,23,43.131,0.541,False,6.0,14.0,31.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),420,23,43.131,0.545,False,6.0,14.0,31.0,34.0
,Alameda to Sutter,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),5: Late PM (7pm-12am),161,24,43.131,0.547,False,6.0,14.0,30.0,34.0
