data_periods,zone_id,zone_name,mode_of_travel,day_type,day_part,zone_traffic,output_unit
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,0: All Days (M-Su),0: All Day (12am-12am),146,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,0: All Days (M-Su),2: Peak AM (6am-10am),14,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),64,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),45,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,0: All Days (M-Su),5: Late PM (7pm-12am),22,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),0: All Day (12am-12am),146,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),17,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),46,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),57,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),19,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),140,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),8,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),67,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),39,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),28,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),0: All Day (12am-12am),266,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),2: Peak AM (6am-10am),28,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),124,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),84,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),5: Late PM (7pm-12am),28,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),0: All Day (12am-12am),228,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),23,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),88,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),97,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),24,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),339,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),27,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),220,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),57,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),38,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),0: All Day (12am-12am),560,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),2: Peak AM (6am-10am),104,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),179,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),207,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),5: Late PM (7pm-12am),66,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),0: All Day (12am-12am),519,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),106,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),162,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),180,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),75,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),654,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),73,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),259,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),247,Average Daily Zone Traffic (StL Volume)
