data_periods,zone_id,zone_name,mode_of_travel,day_type,day_part,zone_traffic,output_unit
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),0: All Day (12am-12am),254,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),2: Peak AM (6am-10am),47,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),76,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),103,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),5: Late PM (7pm-12am),33,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),0: All Day (12am-12am),276,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),57,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),62,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),128,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),44,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),289,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),42,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),135,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),125,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Alameda to Sutter,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),29,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),0: All Day (12am-12am),340,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),1: Early AM (12am-6am),14,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),2: Peak AM (6am-10am),59,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),142,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),117,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),5: Late PM (7pm-12am),32,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),0: All Day (12am-12am),290,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),75,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),98,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),94,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),38,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),399,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),35,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),252,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),84,Average Daily Zone Traffic (StL Volume)
